auction max stop today
41.03 11.56 12.69 11.50
-- -- -- --
-- -- -- --
-- -- -- --
8.63 19.36 20.94 18.99
131.08 6.47 6.94 6.20
7.17 4.69 5.09 4.63
102.08 4.61 4.61 4.17
25.86 7.59 8.36 7.55
13.01 15.96 17.35 15.73
-- -- -- --
-- -- -- --
7.08 22.08 24.00 21.62
-- -- -- --
40.98 9.78 10.49 9.54
9.55 9.48 10.36 9.41
7.74 6.74 7.35 6.66
19.91 6.03 6.42 5.81
20.16 17.01 18.83 16.90
38.33 8.07 8.50 7.58
4.54 15.10 16.66 15.08
-- -- 8.07 --
6.58 13.45 14.78 13.42
15.10 14.80 16.18 14.80
6.58 5.97 6.50 5.90
31.30 5.58 5.96 5.42
55.07 21.51 21.54 20.10
10.18 10.93 11.73 10.65
-- -- 5.41 --
15.58 5.70 6.23 5.67
10.93 12.93 14.10 12.70
49.68 18.43 20.32 18.28
31.50 3.26 3.55 3.21
8.69 9.01 9.90 8.88
7.97 6.24 6.69 6.06
3.62 32.92 36.21 32.92
22.05 7.73 8.60 7.72
2.82 6.54 6.80 6.40
4.05 21.95 24.61 21.94
14.57 3.82 3.97 3.74
9.96 28.37 30.36 27.70
-- -- -- --
21.50 2.82 2.90 2.73
12.01 33.99 36.66 33.10
59.10 14.45 15.87 14.34
20.23 6.10 6.66 6.01
107.25 6.59 7.22 6.54
6.39 14.59 16.13 14.59
26.54 7.00 7.57 6.90
44.11 5.84 6.11 5.57
-- -- -- --
16.13 5.89 6.12 5.59
91.51 6.87 7.59 6.73
12.72 5.49 5.58 5.06
22.46 5.44 5.80 5.25
3.58 7.75 8.49 7.66
24.27 5.57 6.00 5.43
17.63 5.54 6.05 5.50
13.95 9.29 10.14 9.22
19.05 15.09 16.48 14.90
9.62 6.64 7.30 6.53
42.83 9.70 10.42 9.53
10.71 7.04 7.67 6.88
25.07 7.18 7.79 7.09
4.15 7.54 8.22 7.43
9.18 4.53 4.83 4.36
15.32 3.16 3.16 3.01
12.30 2.47 2.67 2.41
29.96 8.51 8.51 7.74
50.18 11.77 12.94 11.77
2.90 38.78 42.27 38.33
12.33 6.96 7.66 6.96
14.03 6.74 7.10 6.30
6.13 6.48 6.74 6.48
88.83 10.35 10.35 9.33
13.68 8.81 9.68 8.80
15.19 8.04 8.89 7.98
81.09 8.77 8.77 7.97
98.93 10.73 10.73 10.06
38.77 8.96 9.23 8.38
17.80 15.35 16.91 15.21
47.42 10.63 11.77 10.52
38.13 25.88 26.29 23.90
12.73 15.19 15.83 14.32
17.53 3.28 3.55 3.20
13.73 3.87 4.29 3.85
8.45 39.30 41.58 37.51
7.65 8.79 9.30 8.50
18.89 1.68 1.74 1.65
27.14 10.98 11.62 10.59
13.03 14.86 16.29 14.73
16.88 20.39 20.98 19.09
59.20 4.28 4.52 4.07
-- -- -- --
4.61 18.81 20.83 18.81
6.76 31.02 32.64 29.65
30.56 9.44 10.36 9.39
30.53 30.10 31.98 28.80
14.12 7.68 8.46 7.64
15.07 4.48 4.96 4.48
60.87 3.66 4.07 3.65
8.09 33.62 36.59 33.30
16.09 12.60 13.09 11.89
-- -- -- --
2.41 71.00 76.00 69.08
4.42 34.73 37.98 34.73
10.98 11.22 12.34 11.15
23.22 10.37 10.99 10.06
2.57 6.32 6.37 5.98
3.56 12.06 12.89 11.70
9.69 6.37 6.58 6.00
36.39 7.61 8.45 7.35
15.42 37.58 38.18 34.26
-- -- -- --
13.47 7.99 8.84 7.98
1.93 14.50 15.47 14.07
57.66 14.25 14.25 14.00
49.66 28.79 31.71 28.10
70.97 2.72 2.99 2.70
4.83 6.46 6.75 6.41
5.43 49.23 53.65 48.70
6.91 4.22 4.60 4.16
18.40 17.67 18.67 16.74
63.14 6.97 7.72 6.90
17.46 22.91 25.40 22.91
6.02 6.19 6.75 6.13
8263手 18.39 20.16 18.29
-- -- -- --
21.80 7.38 8.06 7.24
-- -- -- --
92.13 11.67 11.67 11.00
13.04 4.60 5.07 4.60
7.82 5.35 5.94 5.30
12.19 4.03 4.39 3.98
7.08 22.86 25.18 22.28
52.83 4.33 4.33 3.88
75.34 2.77 3.04 2.75
23.49 7.00 7.88 6.88
32.70 11.25 12.35 11.08
28.27 4.87 5.09 4.60
-- -- -- --
72.12 9.53 9.93 8.78
62.57 31.09 32.60 30.00
24.38 10.36 11.22 10.19
27.61 12.57 13.82 12.46
33.49 10.58 11.58 10.48
18.61 6.86 7.58 6.86
-- -- 1.62 --
6.41 6.33 6.58 6.25
72.05 4.12 4.55 4.11
10.30 63.00 66.88 60.00
18.72 15.10 16.36 14.71
36.40 4.47 4.91 4.44
35.41 5.48 5.70 5.19
-- -- -- --
5.70 6.48 6.97 6.34
27.49 3.92 4.10 3.73
79.06 7.38 8.14 7.33
5.93 10.09 10.09 9.60
2.06 15.56 17.11 15.20
3.90 5.89 6.41 5.83
21.92 7.85 8.54 7.76
13.22 5.10 5.47 4.97
32.20 14.00 14.70 13.01
24.06 5.75 6.33 5.70
7.87 4.42 4.85 4.40
19.40 6.67 7.33 6.64
10.12 13.24 14.48 13.14
7.25 10.79 11.78 10.63
15.37 6.46 6.71 6.08
14.99 9.38 10.49 9.30
9.77 7.02 7.70 6.99
36.36 11.95 13.28 11.80
-- -- -- --
5.53 12.44 13.39 12.11
3.41 8.36 9.24 8.36
8.77 19.63 21.54 19.63
17.25 5.86 6.28 5.67
222.14 15.15 16.74 14.96
8.12 8.18 8.92 8.11
85.68 3.71 4.10 3.66
-- -- -- --
5.30 9.84 10.63 9.59
-- -- -- --
2.74 9.12 10.03 9.12
40.35 5.10 5.65 4.94
8.84 32.21 35.70 32.21
44.66 11.09 12.41 11.04
1.03 15.28 16.42 14.98
16.26 33.36 34.49 31.15
15.30 27.47 27.60 24.86
9.97 9.04 9.69 8.73
-- -- -- --
6.80 4.71 5.18 4.68
10.07 4.93 5.43 4.91
30.32 16.44 18.48 16.28
35.64 4.71 5.15 4.63
2.07 10.45 11.47 10.38
4.71 6.09 6.68 6.07
9.80 19.63 21.09 19.24
18.98 9.25 10.02 8.87
4.30 8.55 9.25 8.35
22.44 11.52 12.85 11.52
18.73 2.94 3.21 2.92
61.22 8.29 9.04 8.20
5.20 7.48 8.02 7.29
20.96 6.75 7.23 6.58
61.31 18.05 18.91 17.06
54.15 4.37 4.70 4.22
12.31 5.49 6.05 5.48
7.33 3.82 4.03 3.80
126.54 3.15 3.52 3.13
10.13 37.27 39.08 35.79
27.42 5.84 6.33 5.80
14.68 10.11 11.12 10.06
65.43 11.75 11.75 10.55
12.68 15.00 15.72 14.01
12.59 6.52 6.64 6.33
-- -- -- --
39.90 7.30 8.09 7.30
12.07 4.63 5.09 4.59
73.61 4.34 4.53 4.11
3.32 11.99 12.75 11.53
3.65 8.16 8.80 8.00
23.71 15.57 16.85 15.26
3.40 28.24 30.58 27.50
39.64 8.83 9.53 8.65
102.52 32.19 34.10 30.96
21.79 5.98 6.63 5.93
6.30 6.25 6.72 6.09
6.18 8.04 8.75 7.91
3187手 5.22 5.76 5.22
8.90 6.73 7.37 6.68
11.41 26.50 29.20 26.44
5.49 7.61 8.42 7.60
35.49 22.81 25.38 22.80
16.00 6.86 7.50 6.76
2.53 24.78 26.84 24.29
9.73 10.19 10.70 9.66
-- -- -- --
25.68 16.70 18.18 16.55
8.77 21.28 23.57 21.20
16.02 6.85 7.57 6.80
61.58 7.54 8.21 7.48
11.67 7.92 8.62 7.76
38.07 7.33 8.06 7.31
28.35 8.86 9.79 8.84
3.43 9.97 10.85 9.80
11.50 5.20 5.71 5.19
27.14 6.95 7.08 6.33
66.16 12.39 13.61 12.39
17.33 5.66 6.24 5.65
37.32 4.83 5.03 4.54
4.93 11.30 12.00 10.90
26.18 12.12 12.74 11.58
70.38 5.67 5.67 5.09
7.54 12.88 14.33 12.80
33.71 3.93 4.27 3.88
22.22 12.54 13.83 12.42
24.39 9.25 9.79 8.73
78.26 8.97 9.36 8.44
16.20 8.87 9.66 8.73
17.87 4.60 5.04 4.56
41.65 14.38 15.92 14.08
3.55 20.37 22.00 20.03
22.66 18.89 20.34 18.61
38.73 5.08 5.54 5.04
9.18 5.25 5.69 5.15
3.01 12.97 14.37 12.97
24.24 6.08 6.58 5.88
12.85 4.13 4.49 4.05
6.60 7.44 8.24 7.44
12.26 7.38 7.81 7.11
5.49 13.39 14.51 13.12
36.05 6.26 6.94 6.26
13.22 11.76 12.87 11.65
81.67 4.73 5.01 4.57
2.51 57.98 62.63 56.93
5.68 9.66 10.40 9.45
6.38 18.18 19.36 17.56
6.48 8.71 9.53 8.63
8.34 10.80 12.00 10.78
25.97 7.06 7.63 6.89
8.17 16.02 17.42 15.81
44.05 18.72 19.97 18.23
59.35 3.24 3.53 3.20
21.63 5.24 5.76 5.20
32.67 8.25 9.10 8.15
37.04 8.54 9.46 8.47
65.95 2.36 2.54 2.28
49.63 8.54 9.32 8.45
3.36 10.99 11.92 10.72
174.69 7.07 7.07 6.30
85.84 9.13 9.77 8.84
14.19 4.03 4.39 3.96
32.28 7.25 7.92 7.12
-- -- 29.80 --
14.80 6.56 7.25 6.51
27.91 3.20 3.52 3.16
72.45 4.86 5.09 4.61
6.53 8.90 9.81 8.90
8.70 12.40 13.39 12.11
2.98 42.97 47.28 42.40
6.88 5.97 6.58 5.89
9.69 5.69 6.08 5.48
63.27 3.68 3.74 3.41
24.35 15.47 16.52 15.11
7.02 6.58 7.18 6.46
23.34 20.42 22.24 20.21
6.74 13.24 14.59 13.15
531.37 4.54 4.59 4.25
4.85 32.20 35.42 32.00
13.98 7.29 8.04 7.21
39.82 4.10 4.50 4.06
85.69 5.13 5.13 4.65
128.97 13.32 14.87 13.13
47.50 11.32 12.29 11.03
14.50 8.60 9.53 8.60
5.64 14.03 15.35 13.81
47.22 6.98 7.58 6.86
